,001_08,002_08,003_08,004_08,005_08,006_08,007_08,019_14,020_14,021_14,022_14,023_14,024_14,025_14,026_14,027_14,028_14,076_13,077_13,078_13,079_13,080_13,081_13,082_13,083_13,084_13,085_13,086_13,087_13,089_13,090_13,091_13,092_13,093_13,094_13,095_13,096_13,097_13,098_13,099_13,100_13,102_13,103_13,104_13,105_13,106_13,236_14,237_14,238_14,239_14,240_14,241_14,242_14,243_14,244_14,245_14,246_14,247_14,248_14,249_14,250_14,251_14,252_14,253_14,254_14,255_14,256_14,257_14,258_14,259_14,260_14,261_14,262_14,263_14,264_14,265_14,266_14,267_14,268_14
098_13,-0.222010404,0.05729498,-0.168712571,-0.45983398,-0.049832746,0.015841303,-0.189050019,-0.640901208,0.072606891,0.454717994,-0.229818299,0.156487629,-0.365444899,0.143079787,-0.101639546,0.341907948,0.2195265,-0.04553137,-0.132299975,-0.180170342,0.427058041,-0.114953995,-0.323706329,0.190811783,-0.36870724,0.052667044,-0.277451783,-0.215688646,-0.072323769,0.396013767,0.339195162,-0.388934523,-0.006218719,-0.370880365,-0.520283103,0.150025979,-0.780228615,0.219661757,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099_13,0.143291578,-0.133295268,0.365265936,0.021229096,0.276811987,0.133719951,0.381498426,0.432964444,0.055121582,-0.008513259,0.293713659,0.232905746,0.395751595,0.147630438,0.7106089,0.065075159,0.353438199,0.398772597,0.18627435,0.220953003,-0.048509788,0.512348175,0.731998384,0.081291921,0.095688589,0.32383731,-0.16257897,0.235434756,-0.252995372,-0.140000477,-0.027962571,0.720582306,0.487081885,0.500267267,-0.015040362,-0.013007767,0.511880398,0.644070804,-0.171700627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_13,0.65964663,0.093257651,0.446847051,-0.517552793,0.162992582,-0.106136337,-0.195217952,-0.348687798,0.19362317,-0.383712918,-0.059587847,0.069360748,0.154292613,0.323632151,0.26303333,0.296734869,0.149824992,0.603904188,0.637883484,-0.302147985,0.259849608,-0.060227122,0.191922873,-0.357141316,-0.271410584,0.39407596,-0.843256533,0.073154263,-0.229152173,-0.053962499,0.148039132,0.186412066,-0.110770985,0.433643728,-0.297991365,-0.289153904,-0.243657485,0.132534876,-0.29216516,0.376142532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_13,0.055051763,0.897916138,-0.030194066,-0.007677691,0.071702927,0.462525219,0.014128953,0.09351819,-0.657554209,-0.2119544,-0.106410518,-0.22027339,-0.07599628,-0.328040957,-0.254606128,0.002215101,0.162172362,-0.311802477,-0.325900644,-0.040015008,0.240314737,0.015884712,-0.206166893,0.147914499,-0.027641298,-0.212156311,0.078471392,0.006517454,-0.486645877,-0.179219633,-0.05360882,-0.259451628,-0.034659151,0.100302488,-0.052007027,0.136042401,-0.482320726,-0.248067901,0.106987961,-0.185684204,0.002435697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103_13,0.404211849,0.433848292,0.113577157,-0.5081622,0.181508482,0.30129227,-0.104319237,-0.345031708,-0.485402763,0.437073439,-0.101924203,-0.11614576,-0.288918972,-0.18236424,0.164006934,0.495647252,0.237430543,0.197671846,-0.032372363,0.107029863,0.453104764,-0.102563478,-0.119396515,0.309076279,0.122804716,0.317782462,-0.868874192,0.245965391,-0.433955073,0.220869556,0.341574699,-0.335115075,0.001279877,0.095972732,-0.233778521,-0.066339925,-0.170809448,-0.083294511,0.638015985,-0.040671375,0.135330334,0.33525607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104_13,-0.173524916,-0.520531535,-0.009380815,-0.150222227,-0.273243129,-0.523554921,-0.140564531,0.249555185,0.073064536,-0.475135207,0.037337236,0.023115683,0.082076214,-0.058688588,0.112586617,0.124148883,0.029748186,0.473420709,0.434078842,-0.019201756,0.133453578,0.561589181,0.286894351,-0.169252798,-0.354402602,0.309074193,-0.168036714,-0.167203158,-0.21253486,-0.131207421,-0.032795571,0.293327004,-0.013845901,-0.035787456,-0.295120001,-0.168903098,0.37143451,0.055966932,-0.336354524,0.379623204,0.023248948,-0.408549607,-0.339846224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105_13,0.222338676,0.150880545,-0.58459574,-0.410390377,0.17351824,-0.107695729,-0.440144956,-0.53961271,-0.599418163,0.586322308,-0.579633653,-0.098614335,-0.563616753,-0.502732038,-0.300379694,0.118172012,-0.141630709,-0.238298267,-0.331519812,-0.452177316,0.230551839,-0.698358357,0.023999549,0.034284614,0.196668148,0.124907196,-0.875979841,0.32898894,-0.517083764,0.350464195,0.118172012,-0.297687858,-0.135486394,-0.260861248,-0.542645991,-0.27049154,-0.66683495,-0.293649912,0.263285637,-0.200091451,-0.347795933,-0.046608273,0.740074635,-0.437725633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106_13,-0.04088736,-0.187709674,0.038361285,-0.115609206,0.123275444,-0.271622002,-0.081810169,-0.161629453,-0.385597676,-0.343870699,-0.214342028,0.152923912,-0.034676161,-0.349287182,0.456573606,0.598958135,0.24184835,0.484627694,0.343307495,0.196308464,0.405288458,0.07676027,0.59072262,0.33140555,-0.367343575,0.786511004,-0.527355313,0.647731125,-0.678524137,0.264240831,0.326412261,0.253350258,0.201136857,0.18525134,-0.159938544,-0.388022959,0.452095509,0.092817739,-0.272212774,0.504904509,0.065552756,-0.398913443,0.075723357,0.457719535,0.119982846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236_14,0.171866402,0.140099615,-0.265043914,-0.200207651,-0.007498152,0.120164908,0.320058703,-0.100491352,-0.789359152,0.272214353,-0.181479067,-0.443385869,-0.466088206,-0.595764995,0.235412508,-0.128541008,-0.19715254,-0.165390998,-0.534247279,0.084218211,-0.252122551,-0.198743448,-0.196297318,-0.174586952,0.583777547,-0.040172439,-0.493338346,0.079164021,-0.782036364,-0.381349832,-0.237228438,-0.093719013,0.264762104,0.049820516,0.139366403,-0.538384676,-0.318440944,-0.514210701,-0.057273634,0.090749361,-0.28365761,0.072061017,0.728018343,-0.585223973,0.479111344,-0.238358662,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237_14,-0.399734855,-0.0866616,-0.541811228,-0.111763701,0.176810265,0.105286017,0.016204402,-0.213761836,0.024455013,0.011658508,-0.002982222,-0.118524134,-0.250444561,0.107397571,-0.024972649,-0.14659977,0.27063778,-0.330647588,-0.355102688,-0.246543571,-0.160313249,-0.025509281,-0.208705962,-0.362326831,-0.135357052,-0.334012151,0.678190708,-0.226011559,0.305265039,-0.282197416,-0.057178188,-0.041470565,0.170713201,-0.1100756,-0.271939993,0.239470705,-0.748730659,0.140261009,0.343412757,0.021505054,-0.338685453,0.18365486,-0.125729769,-0.105315231,-0.350082666,-0.427696198,-0.400978893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238_14,0.219979391,0.300804615,0.356359273,-0.191852555,0.214973718,0.391750902,-0.041838992,-0.530241609,-0.635507584,-0.133505076,-0.005998453,-0.292663664,-0.249427587,-0.437614679,0.406322688,0.719845235,0.189984366,0.430106461,-0.040437516,0.344157428,0.386017382,0.032933071,-0.04811772,0.386511594,0.047665894,0.618779659,-0.901812494,0.410633892,-0.771242082,0.208197147,0.393464416,-0.345098346,-0.088602476,0.12844497,0.300315797,-0.821510434,0.179878742,-0.285519451,0.207427606,0.097859055,0.163239166,0.108950377,0.818678916,-0.428830504,0.291179359,0.2548922,0.579939365,-0.50576973,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239_14,0.401244491,0.032096583,-0.468463093,-0.677076459,0.153856218,-0.174779594,-0.713552594,-0.907829523,-0.527896941,0.322589874,-0.63349998,-0.481713384,-0.845320821,-0.527896941,-0.220550433,0.342164606,-0.202258319,0.119228683,-0.156291842,-0.577304661,0.342164606,-0.78390193,-0.156271517,-0.178416431,0.068168923,0.342164606,-1.005814791,0.161849633,-0.424975604,0.468155324,0.342164606,-0.607193232,-0.498350143,-0.156317264,-0.535592914,-0.690894544,-0.647219896,-0.504246235,0.424258441,-0.438072115,-0.078319758,-0.197021738,0.885833859,-0.443529844,0.881198347,0.071095414,0.429518044,-0.496281505,0.561392188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240_14,-0.190508962,0.045774583,-0.448994845,-0.28309083,-0.165532216,-0.004260432,-0.517946541,-0.914317071,-0.406722426,0.057346925,-0.587155163,-0.341044635,-0.52731508,-0.403188854,-0.642259479,-0.037465055,-0.484447747,-0.261395186,-0.403788358,-0.59761709,0.121146709,-0.741008937,-0.462350965,-0.169668898,-0.066104658,-0.175681666,-0.994677305,-0.423703581,-0.271864116,0.362215787,0.050058983,-0.760688782,-0.621300817,-0.628024161,-0.263346761,-0.577076554,-0.96615231,-0.579533637,0.102902286,-0.621510386,-0.394611925,-0.097674534,0.351384133,-0.593942821,0.597941339,-0.5454579,0.03275907,-0.567458272,0.135127395,0.791121244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241_14,0.482282579,-0.345704615,0.040726669,-0.402433664,-0.208136037,-0.740747869,-0.479804069,-0.750843346,0.034942091,-0.098891206,-0.075350374,0.073223166,-0.222055987,0.035029419,0.1052275,0.460899085,0.133315742,0.155724868,0.463304281,-0.357093275,0.150145173,-0.467243195,-0.072497472,-0.226065472,0.147172421,0.271374702,-1.196037054,0.378892213,-0.608898878,-0.04747501,0.164170176,0.04057464,-0.102184996,0.014320032,-0.166915536,-0.332635909,-0.318672866,-0.256868362,-0.330588341,-0.012681542,0.260280818,-0.470700353,0.298319638,-0.112603828,0.156348154,0.22056368,-0.094938435,-0.529030383,0.188595191,0.332539678,-0.412650019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
242_14,-0.427085131,-0.080267228,-0.569385231,0.009375706,-0.442102104,-0.064746551,0.217772394,-0.169293314,-0.567864954,0.289288819,-0.368376285,-0.646511436,-0.517154157,-0.426013917,-0.312199086,-0.746532202,-0.772817016,-0.735617757,-0.952065349,-0.284999937,-0.696211696,-0.469934523,-0.452990353,-0.433699787,0.422731072,-0.557687163,0.084088221,-0.432041854,-0.249004871,-0.628273785,-0.673870564,-0.387679547,-0.015892446,-0.701688349,0.158936739,-0.420027375,-0.657205343,-0.429323792,-0.208993614,-0.231819957,-0.930602074,-0.165404111,0.163619637,-0.84985429,0.0108289,-0.709601343,0.637721837,-0.261193603,0.155554488,-0.091548219,0.04337199,-0.800763905,0,,,,,,,,,,,,,,,,,,,,,,,,,,
243_14,0.052530989,0.089556307,0.391753793,-0.203325763,-0.053363875,-0.107460655,-0.196542278,-0.135275513,-0.080560274,-0.289775938,-0.001356734,0.163854107,0.179217815,-0.105349101,0.288741887,0.876796424,0.377277285,0.729463637,0.728176415,0.526870608,0.830545962,0.407113373,0.22142835,0.325033516,-0.401393384,0.821100652,-0.617571652,0.071686633,-0.345521271,0.491634965,0.642567575,-0.05660855,-0.076888382,0.241796806,-0.070965774,-0.306187391,0.546960652,0.16181162,0.209701151,0.136664942,0.271315008,-0.046519272,0.303277105,0.48929593,0.1092631,0.637520313,-0.2104408,-0.244748473,0.361554295,0.342164606,-0.020399671,0.024401465,-0.588385165,0,,,,,,,,,,,,,,,,,,,,,,,,,
